Datums,Description,Summa,Kategorija
03-01,Apartment rent,300.00,Housing
03-01,Mobile phone (Tele2),17.00,Phone
03-02,Groceries (Rimi),43.50,Food
03-02,Groceries (Rimi),18.50,Food
03-05,Fuel (Circle K),45.00,Transport
03-05,YouTube Premium,12.00,Phone
03-08,Coffee (Double Coffee),4.80,Food
03-10,Taxi (Bolt),8.30,Transport
03-12,Postage,3.20,Other
03-15,Cinema (Forum Cinemas),12.00,Entertainment
03-18,Medicine (Benu Pharmacy),15.60,Health
03-20,Bus ticket,1.50,Transport
03-22,Groceries (Maxima),41.40,Food
03-25,Restaurant (Vinogradu),28.90,Food
04-01,Apartment rent,300.00,Housing
04-01,Mobile phone (Tele2),17.00,Phone
04-05,YouTube Premium,12.00,Phone
04-05,Fuel (Neste),42.50,Transport
04-08,Cosmetics (Douglas),19.90,Beauty
04-10,Taxi (Yandex),7.80,Transport
04-12,Groceries (Top!),15.20,Food
04-18,Medicine (Apotheka),24.10,Health
04-20,Car wash,9.50,Transport
04-22,Groceries (Maxima),38.40,Food
04-25,Coffee (Costa Coffee),5.60,Food
05-01,Apartment rent,300.00,Housing
05-01,Mobile phone (Tele2),17.00,Phone
05-02,YouTube Premium,12.00,Phone
05-10,Taxi (Bolt),6.00,Transport
05-18,Medicine (Benu Pharmacy),9.00,Health
05-20,Bus tickets,6.00,Transport
05-22,Groceries (Maxima),50.40,Food
05-25,Restaurant (Naples),45.70,Food
